Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,4.563000,4.631000,4.562000,4.629000,4.543766,5037602
2018-02-13,4.650000,4.683000,4.623000,4.670000,4.584011,5515851
2018-02-14,4.680000,4.683000,4.651000,4.659000,4.573213,5882291
2018-02-15,4.642000,4.701000,4.637000,4.663000,4.577140,5642700
2018-02-16,4.645000,4.695000,4.642000,4.670000,4.584011,4797240
2018-02-19,4.656000,4.689000,4.650000,4.665000,4.579103,5075443
2018-02-20,4.653000,4.683000,4.650000,4.680000,4.593826,5689944
2018-02-21,4.683000,4.718000,4.653000,4.718000,4.631127,5790251
2018-02-22,4.682000,4.712000,4.671000,4.700000,4.613458,5957547
2018-02-26,4.749000,4.780000,4.749000,4.764000,4.676280,5440101
2018-02-27,4.777000,4.800000,4.750000,4.750000,4.662538,5294191
2018-02-28,4.737000,4.771000,4.717000,4.734000,4.646832,5630310
2018-03-01,4.767000,4.769000,4.720000,4.740000,4.652721,5519801
2018-03-02,4.749000,4.750000,4.700000,4.700000,4.613458,5734650
2018-03-05,4.740000,4.743000,4.672000,4.726000,4.638979,5037808
2018-03-06,4.742000,4.744000,4.730000,4.740000,4.652721,4888009
2018-03-07,4.749000,4.749000,4.737000,4.742000,4.654685,4600103
2018-03-09,4.750000,4.770000,4.732000,4.746000,4.658611,3727405
2018-03-12,4.755000,4.908000,4.755000,4.805000,4.716525,14952801
2018-03-13,4.803000,4.830000,4.779000,4.802000,4.713580,6800543
2018-03-14,4.781000,4.855000,4.770000,4.800000,4.711617,8991605
2018-03-15,4.820000,5.000000,4.820000,4.900000,4.809776,12503900
2018-03-16,4.881000,5.000000,4.750000,4.750000,4.662538,283279401
2018-03-19,4.783000,4.847000,4.783000,4.830000,4.741065,5103550
2018-03-20,4.820000,4.840000,4.765000,4.785000,4.696893,5985118
2018-03-21,4.826000,4.863000,4.802000,4.850000,4.760696,6898241
2018-03-22,4.826000,4.834000,4.809000,4.816000,4.727323,4771075
2018-03-23,4.805000,4.849000,4.780000,4.821000,4.732230,18608215
2018-03-26,4.818000,4.830000,4.780000,4.805000,4.716525,12170111
2018-03-27,4.802000,4.820000,4.796000,4.819000,4.730267,5632385
2018-03-28,4.816000,4.820000,4.800000,4.810000,4.721433,4675028
2018-03-29,4.795000,4.864000,4.791000,4.829000,4.740083,6485941
2018-03-30,4.834000,4.870000,4.809000,4.849000,4.759715,6511935
2018-04-02,4.842000,4.864000,4.814000,4.816000,4.727323,4967406
2018-04-03,4.811000,4.811000,4.781000,4.782000,4.693948,5146007
2018-04-04,4.776000,4.817000,4.755000,4.764000,4.676280,6451103
2018-04-05,4.766000,4.823000,4.760000,4.805000,4.716525,7885377
2018-04-06,4.788000,4.817000,4.788000,4.804000,4.715543,2848002
2018-04-09,4.801000,4.817000,4.610000,4.628000,4.542784,19878910
2018-04-10,4.697000,4.709000,4.645000,4.645000,4.559471,3487650
2018-04-11,4.677000,4.770000,4.656000,4.730000,4.642906,6701939
2018-04-12,4.698000,4.779000,4.697000,4.749000,4.661556,5860910
2018-04-13,4.738000,4.770000,4.713000,4.761000,4.673335,4745425
2018-04-16,4.741000,4.762000,4.676000,4.710000,4.623274,7237050
2018-04-17,4.724000,4.775000,4.710000,4.775000,4.687078,5905932
2018-04-18,4.775000,4.830000,4.749000,4.820000,4.731249,5540800
2018-04-19,4.820000,4.820000,4.760000,4.785000,4.696893,4363400
2018-04-20,4.772000,4.787000,4.740000,4.757000,4.669409,4274503
2018-04-23,4.746000,4.790000,4.736000,4.765000,4.677261,3888202
2018-04-24,4.792000,4.792000,4.701000,4.701000,4.614440,6915920
2018-04-25,4.740000,4.740000,4.638000,4.662000,4.576158,9266736
2018-04-26,4.677000,4.697000,4.623000,4.623000,4.537876,10988113
2018-04-27,4.651000,4.660000,4.590000,4.622000,4.536895,14829841
2018-04-30,4.666000,4.709000,4.620000,4.620000,4.534931,1727500
2018-05-02,4.650000,4.650000,4.535000,4.535000,4.451496,1979516
2018-05-03,4.560000,4.670000,4.560000,4.611000,4.526097,3919002
2018-05-04,4.628000,4.650000,4.583000,4.649000,4.563397,2933500
