Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,3.710500,3.732000,3.646500,3.682500,3.414665,66981026
2018-02-13,3.675000,3.699500,3.620000,3.684500,3.416520,50735005
2018-02-14,3.680000,3.717500,3.652000,3.717500,3.447119,47410020
2018-02-15,3.719500,3.800000,3.691500,3.795500,3.519446,71548006
2018-02-16,3.810000,3.826000,3.780000,3.792000,3.516201,52711992
2018-02-19,3.792000,3.819000,3.721500,3.721500,3.450828,48548003
2018-02-20,3.722000,3.728000,3.672500,3.700000,3.430892,40564150
2018-02-21,3.680000,3.821000,3.658500,3.821000,3.543092,88318003
2018-02-22,3.815000,3.815000,3.725000,3.780000,3.505074,109501055
2018-02-26,3.800000,3.844500,3.760500,3.769000,3.494874,142723002
2018-02-27,3.779000,3.795000,3.684500,3.710500,3.440629,96214117
2018-02-28,3.710500,3.750000,3.654500,3.720000,3.449437,146980003
2018-03-01,3.708500,3.739000,3.671500,3.697000,3.428110,88358001
2018-03-02,3.729500,3.760000,3.661000,3.716500,3.446192,65747121
2018-03-05,3.719000,3.795000,3.692000,3.795000,3.518983,80635004
2018-03-06,3.793000,3.820000,3.732500,3.820000,3.542164,78469003
2018-03-07,3.800000,3.801000,3.712500,3.769500,3.495337,119739004
2018-03-09,3.745500,3.810000,3.745500,3.795500,3.519446,47501006
2018-03-12,3.787000,3.840000,3.787000,3.830000,3.551437,80298483
2018-03-13,3.836000,3.837500,3.803500,3.830000,3.551437,103138031
2018-03-14,3.830000,3.830000,3.670000,3.670000,3.403074,169116147
2018-03-15,3.630000,3.788000,3.570500,3.647000,3.381747,511328009
2018-03-16,3.620000,3.798500,3.616500,3.798500,3.522228,222225000
2018-03-19,3.747000,3.774500,3.687000,3.720000,3.449437,133904043
2018-03-20,3.721500,3.794500,3.716000,3.793000,3.517128,69214025
2018-03-21,3.790000,3.839000,3.760000,3.779500,3.504610,106069542
2018-03-22,3.829500,3.829500,3.755500,3.774500,3.499974,96653712
2018-03-23,3.751000,3.796500,3.725000,3.734500,3.462883,96993002
2018-03-26,3.735000,3.755500,3.680000,3.684000,3.416056,82902001
2018-03-27,3.749000,3.790000,3.692500,3.726000,3.455001,114929011
2018-03-28,3.744000,3.750000,3.712500,3.737000,3.465201,104769559
2018-03-29,3.750000,3.830000,3.715500,3.830000,3.551437,181998011
2018-03-30,3.830000,3.830500,3.800000,3.820000,3.542164,21858000
2018-04-02,3.824000,3.897000,3.801500,3.860000,3.579255,155955082
2018-04-03,3.861500,3.897000,3.820000,3.854500,3.574155,124099006
2018-04-04,3.880000,3.910000,3.842000,3.893000,3.609855,106791014
