Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,2.626500,2.669000,2.621000,2.662500,2.281547,5666076
2018-02-13,2.660500,2.665500,2.645000,2.645000,2.266551,3408000
2018-02-14,2.650000,2.698500,2.639500,2.677500,2.294401,9156000
2018-02-15,2.686500,2.706000,2.660000,2.672000,2.289688,8734005
2018-02-16,2.680000,2.680000,2.642500,2.643500,2.265266,8564001
2018-02-19,2.662000,2.674000,2.647000,2.657500,2.277262,2910041
2018-02-20,2.646500,2.669000,2.646500,2.654000,2.274263,1765000
2018-02-21,2.644500,2.687000,2.644500,2.665000,2.283689,7877000
2018-02-22,2.686500,2.727000,2.671500,2.707500,2.320108,9272000
2018-02-26,2.691500,2.722000,2.691000,2.718000,2.329106,10180035
2018-02-27,2.730000,2.773500,2.721000,2.751500,2.357813,16034021
2018-02-28,2.744500,2.775000,2.700000,2.727500,2.337247,12521004
2018-03-01,2.730000,2.730500,2.702500,2.704000,2.317109,5122042
2018-03-02,2.712500,2.720000,2.672500,2.683500,2.299542,10490002
2018-03-05,2.684000,2.761500,2.676000,2.748500,2.355242,25173000
2018-03-06,2.759000,2.762000,2.695500,2.700500,2.314110,11617015
2018-03-07,2.681000,2.718000,2.660500,2.688000,2.303398,7821000
2018-03-09,2.693500,2.738000,2.678000,2.733500,2.342388,7019028
2018-03-12,2.750000,2.770000,2.705000,2.710000,2.322251,30597050
2018-03-13,2.710000,2.726500,2.657500,2.687500,2.302970,36276005
2018-03-14,2.690000,2.690000,2.627500,2.627500,2.251555,12049010
2018-03-15,2.623500,2.673500,2.603000,2.660000,2.279405,20549025
2018-03-16,2.676000,2.698500,2.656500,2.690000,2.305112,14824400
2018-03-19,2.694500,2.721000,2.689500,2.715000,2.326535,14248002
2018-03-20,2.715000,2.734500,2.695000,2.715500,2.326964,11481050
2018-03-21,2.734000,2.760000,2.727000,2.740000,2.347958,22412867
2018-03-22,2.750000,2.750000,2.713000,2.730000,2.339389,16303000
2018-03-23,2.701500,2.740000,2.687000,2.740000,2.347958,16147006
2018-03-26,2.731000,2.806500,2.720500,2.778500,2.380950,30391016
2018-03-27,2.779000,2.841000,2.772500,2.841000,2.434507,23560050
2018-03-28,2.801500,2.865000,2.801500,2.846000,2.438792,42702038
2018-03-29,2.846000,2.913000,2.846000,2.900000,2.485065,24488100
2018-03-30,2.903500,2.915000,2.881500,2.900000,2.485065,21975100
2018-04-02,2.905000,2.977500,2.901500,2.959000,2.535624,45353002
2018-04-03,2.951000,2.951000,2.900000,2.910500,2.494063,22789006
2018-04-04,2.921000,2.939500,2.866500,2.877500,2.465785,9352015
2018-04-05,2.888000,2.904000,2.888000,2.899500,2.484637,5970220
2018-04-06,2.925500,2.925500,2.831000,2.831500,2.426366,10711008
2018-04-09,2.849000,2.849000,2.510000,2.574000,2.205710,60215001
2018-04-10,2.564500,2.685000,2.503000,2.614000,2.239986,45496002
2018-04-11,2.640000,2.659500,2.450000,2.450000,2.099452,88295200
2018-04-12,2.467500,2.541000,2.462000,2.510000,2.150867,37828005
2018-04-13,2.513500,2.544500,2.480000,2.490000,2.133729,23587003
2018-04-16,2.480000,2.513500,2.450000,2.476500,2.122160,10368050
2018-04-17,2.499000,2.537500,2.487500,2.522500,2.161578,17314005
2018-04-18,2.505000,2.610000,2.505000,2.585000,2.215136,24531001
2018-04-19,2.599500,2.635000,2.552500,2.555500,2.189857,20502001
2018-04-20,2.579500,2.583000,2.532000,2.543000,2.179145,15086002
2018-04-23,2.568500,2.600000,2.546500,2.600000,2.227990,13918001
2018-04-24,2.600000,2.628000,2.589000,2.603000,2.230560,12711001
2018-04-25,2.620000,2.620000,2.546000,2.553000,2.187714,14087017
2018-04-26,2.542500,2.569500,2.532000,2.540000,2.176574,11430001
2018-04-27,2.549500,2.600000,2.543000,2.600000,2.227990,12296005
2018-04-30,2.648500,2.650000,2.573500,2.573500,2.205281,10871000
2018-05-02,2.574500,2.606000,2.573000,2.599000,2.227133,10165001
2018-05-03,2.588500,2.593000,2.541000,2.545000,2.180859,14194006
2018-05-04,2.572000,2.585000,2.551500,2.555000,2.189428,8426013
2018-05-07,2.555000,2.574000,2.544000,2.558500,2.192427,6836001
2018-05-08,2.558000,2.578500,2.543000,2.578500,2.209566,7453632
