Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,8.100000,8.290000,8.055000,8.285000,6.901653,572002
2018-02-13,8.345000,8.360000,8.280000,8.295000,6.909983,282002
2018-02-14,8.210000,8.280000,8.100000,8.270000,6.889157,412002
2018-02-15,8.285000,8.300000,8.210000,8.295000,6.909983,206000
2018-02-16,8.055000,8.300000,8.055000,8.180000,6.814185,100002
2018-02-19,8.135000,8.255000,8.135000,8.225000,6.851671,104002
2018-02-20,8.190000,8.610000,8.170000,8.510000,7.089085,2449005
2018-02-21,8.495000,8.600000,8.325000,8.510000,7.089085,2014035
2018-02-22,8.485000,8.855000,8.185000,8.535000,7.109910,4903001
2018-02-26,8.400000,8.415000,8.205000,8.275000,6.893322,1195001
2018-02-27,8.260000,8.300000,8.200000,8.200000,6.830845,586000
2018-02-28,8.255000,8.255000,8.185000,8.245000,6.868331,282003
2018-03-01,8.200000,8.250000,8.170000,8.250000,6.872497,571005
2018-03-02,8.170000,8.195000,8.000000,8.030000,6.689230,687002
2018-03-05,8.050000,8.155000,8.000000,8.040000,6.697561,542001
2018-03-06,8.050000,8.140000,8.000000,8.050000,6.705891,406002
2018-03-07,8.020000,8.060000,7.725000,7.820000,6.514294,1642000
2018-03-09,7.800000,7.860000,7.745000,7.860000,6.547616,361005
2018-03-12,7.945000,8.000000,7.875000,7.990000,6.655909,424001
2018-03-13,7.955000,8.145000,7.955000,7.995000,6.660074,720012
2018-03-14,8.090000,8.090000,7.830000,7.830000,6.522624,388012
2018-03-15,7.905000,7.995000,7.835000,7.900000,6.580936,325002
2018-03-16,7.875000,7.970000,7.680000,7.680000,6.397669,11052008
2018-03-19,7.770000,7.890000,7.655000,7.875000,6.560111,1925002
2018-03-20,7.850000,7.935000,7.710000,7.870000,6.555945,455000
2018-03-21,7.855000,7.900000,7.825000,7.885000,6.568441,270050
2018-03-22,7.895000,8.000000,7.805000,7.895000,6.576771,1130001
2018-03-23,7.700000,7.820000,7.680000,7.790000,6.489303,1035001
2018-03-26,7.795000,7.825000,7.725000,7.760000,6.464312,120003
2018-03-27,7.785000,7.885000,7.770000,7.885000,6.568441,271008
2018-03-28,7.840000,7.910000,7.795000,7.910000,6.589266,349000
2018-03-29,7.860000,7.965000,7.860000,7.950000,6.622588,1017000
2018-03-30,7.940000,7.940000,7.765000,7.765000,6.468477,575007
2018-04-02,7.550000,7.775000,7.260000,7.640000,6.364348,3992013
2018-04-03,7.640000,7.695000,7.470000,7.520000,6.264385,853001
2018-04-04,7.545000,7.575000,7.405000,7.545000,6.285211,434001
2018-04-05,7.550000,7.635000,7.490000,7.600000,6.331027,1422000
2018-04-06,7.550000,7.625000,7.045000,7.595000,6.326862,1167001
2018-04-09,7.520000,7.520000,6.855000,7.115000,5.927008,2684010
2018-04-10,7.020000,7.190000,6.905000,7.030000,5.856201,1005003
2018-04-11,7.030000,7.085000,6.715000,6.805000,5.668768,3074000
2018-04-12,6.845000,6.985000,6.835000,6.950000,5.789558,1550002
2018-04-13,6.940000,7.020000,6.900000,7.015000,5.843705,197006
2018-04-16,7.015000,7.070000,6.910000,6.990000,5.822879,570001
2018-04-17,7.095000,7.150000,6.950000,7.000000,5.831209,466022
2018-04-18,7.030000,7.590000,6.995000,7.320000,6.097779,1936001
