Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,2.568000,2.585000,2.548000,2.585000,2.190907,8135446
2018-02-13,2.581000,2.704000,2.560000,2.640000,2.237522,31687000
2018-02-14,2.641000,2.700000,2.607000,2.614000,2.215486,20301006
2018-02-15,2.638000,2.690000,2.609000,2.649000,2.245150,17584400
2018-02-16,2.673000,2.694000,2.645000,2.676000,2.268034,11907008
2018-02-19,2.671000,2.702000,2.662000,2.694000,2.283289,20063011
2018-02-20,2.684000,2.701000,2.656000,2.661000,2.255320,8931001
2018-02-21,2.648000,2.679000,2.633000,2.658000,2.252778,7984666
2018-02-22,2.658000,2.681000,2.633000,2.677000,2.268881,16884003
2018-02-26,2.639000,2.730000,2.639000,2.698000,2.286679,20207003
2018-02-27,2.697000,2.708000,2.678000,2.690000,2.279900,10564301
2018-02-28,2.673000,2.728000,2.672000,2.724000,2.308716,16795001
2018-03-01,2.716000,2.730000,2.682000,2.729000,2.312954,16186002
2018-03-02,2.730000,2.802000,2.729000,2.754000,2.334142,49161033
2018-03-05,2.760000,2.780000,2.729000,2.735000,2.318039,10229262
2018-03-06,2.759000,2.759000,2.713000,2.734000,2.317191,9663000
2018-03-07,2.726000,2.781000,2.695000,2.721000,2.306173,22707002
2018-03-09,2.722000,2.798000,2.722000,2.796000,2.369739,6092004
2018-03-12,2.750000,2.841000,2.750000,2.762000,2.340923,24720095
2018-03-13,2.779000,2.822000,2.744000,2.804000,2.376519,34004285
2018-03-14,2.792000,2.831000,2.770000,2.831000,2.399403,14909001
2018-03-15,2.817000,2.830000,2.766000,2.780000,2.356178,15140002
2018-03-16,2.800000,2.800000,2.750000,2.750000,2.330752,64666841
2018-03-19,2.772000,2.800000,2.772000,2.790000,2.364654,21191001
2018-03-20,2.785000,2.816000,2.776000,2.800000,2.373129,59430000
2018-03-21,2.806000,2.831000,2.791000,2.819000,2.389233,33091001
2018-03-22,2.816000,2.831000,2.808000,2.830000,2.398556,28352175
2018-03-23,2.816000,2.829000,2.776000,2.820000,2.390080,18409001
2018-03-26,2.800000,2.816000,2.794000,2.815000,2.385843,10982003
2018-03-27,2.813000,2.837000,2.791000,2.830000,2.398556,19979000
2018-03-28,2.817000,2.850000,2.816000,2.840000,2.407031,41821539
2018-03-29,2.832000,2.850000,2.830000,2.842000,2.408726,26014001
2018-03-30,2.851000,2.910000,2.842000,2.910000,2.466359,31556182
2018-04-02,2.904000,2.923000,2.895000,2.913000,2.468902,16660012
2018-04-03,2.905000,2.910000,2.851000,2.887000,2.446866,7854001
2018-04-04,2.895000,2.906000,2.859000,2.897000,2.455342,12726042
2018-04-05,2.907000,2.930000,2.850000,2.894000,2.452799,30405354
2018-04-06,2.910000,2.910000,2.850000,2.873000,2.435000,6614004
2018-04-09,2.860000,2.860000,2.600000,2.660000,2.254473,110802011
2018-04-10,2.695000,2.720000,2.650000,2.680000,2.271424,36470001
2018-04-11,2.653000,2.723000,2.652000,2.673000,2.265491,33532001
2018-04-12,2.690000,2.702000,2.650000,2.674000,2.266339,17845003
2018-04-13,2.685000,2.730000,2.660000,2.679000,2.270576,33272002
2018-04-16,2.610000,2.715000,2.610000,2.670000,2.262948,65767001
2018-04-17,2.688000,2.700000,2.658000,2.680000,2.271424,34989000
2018-04-18,2.665000,2.753000,2.665000,2.701000,2.289222,25003020
2018-04-19,2.724000,2.754000,2.690000,2.750000,2.330752,39390811
2018-04-20,2.750000,2.750000,2.713000,2.718000,2.303631,8268001
2018-04-23,2.744000,2.746000,2.700000,2.723000,2.307868,18303039
2018-04-24,2.738000,2.739000,2.707000,2.738000,2.320581,8868309
2018-04-25,2.707000,2.727000,2.705000,2.709000,2.296003,7100099
2018-04-26,2.715000,2.766000,2.705000,2.742000,2.323972,42313002
2018-04-27,2.761000,2.770000,2.737000,2.740000,2.322277,38621001
2018-04-30,2.746000,2.776000,2.746000,2.776000,2.352788,23197613
2018-05-02,2.773000,2.780000,2.745000,2.760000,2.339227,11920243
2018-05-03,2.760000,2.772000,2.716000,2.716000,2.301935,14208042
2018-05-04,2.713000,2.745000,2.713000,2.740000,2.322277,5699001
2018-05-07,2.749000,2.760000,2.747000,2.760000,2.339227,6855072
2018-05-08,2.760000,2.767000,2.726000,2.747000,2.328209,7961002
2018-05-10,2.755000,2.771000,2.741000,2.751000,2.331599,13824014
2018-05-11,2.769000,2.769000,2.740000,2.755000,2.334990,23606003
2018-05-14,2.744000,2.760000,2.702000,2.710000,2.296850,29374016
2018-05-15,2.731000,2.743000,2.711000,2.730000,2.313801,30125001
2018-05-16,2.739000,2.746000,2.720000,2.726000,2.310411,13717000
2018-05-17,2.730000,2.757000,2.722000,2.754000,2.334142,29418020
2018-05-18,2.739000,2.747000,2.732000,2.741000,2.323124,17563004
2018-05-21,2.758000,2.780000,2.751000,2.779000,2.355331,9062013
2018-05-22,2.788000,2.796000,2.780000,2.790000,2.364654,15815114
2018-05-23,2.798000,2.798000,2.717000,2.725000,2.309563,32725230
2018-05-24,2.746000,2.746000,2.705000,2.713000,2.299393,28481001
2018-05-25,2.713000,2.731000,2.637000,2.679000,2.270576,45196004
2018-05-28,2.705000,2.785000,2.682000,2.785000,2.360416,20639000
2018-05-29,2.790000,2.824000,2.716000,2.784000,2.359569,36120002
2018-05-30,2.813000,2.839000,2.792000,2.819000,2.389233,17534000
2018-05-31,2.785000,2.844000,2.785000,2.844000,2.410422,103379011
2018-06-01,2.843000,2.867000,2.825000,2.864000,2.427372,10179021
2018-06-04,2.856000,2.919000,2.851000,2.910000,2.466359,19827002
2018-06-05,2.888000,2.909000,2.874000,2.888000,2.447713,5809001
2018-06-06,2.864000,2.904000,2.846000,2.851000,2.416354,11412275
2018-06-07,2.872000,2.918000,2.859000,2.891000,2.450256,33506214
2018-06-08,2.873000,2.881000,2.850000,2.850000,2.415506,8016006
2018-06-11,2.864000,2.900000,2.811000,2.884000,2.444324,8849003
2018-06-13,2.900000,2.900000,2.841000,2.857000,2.421440,16895052
2018-06-14,2.840000,2.902000,2.822000,2.822000,2.391775,21577108
2018-06-15,2.844000,2.849000,2.759000,2.759000,2.338380,11901260
2018-06-18,2.779000,2.858000,2.779000,2.800000,2.373129,32154001
2018-06-19,2.814000,2.850000,2.760000,2.850000,2.415506,20573700
2018-06-20,2.848000,2.874000,2.823000,2.841000,2.407879,21188037
2018-06-21,2.860000,2.887000,2.849000,2.849000,2.414659,10149054
2018-06-22,2.867000,2.879000,2.850000,2.859000,2.423135,5449005
2018-06-25,2.860000,2.894000,2.850000,2.867000,2.429915,12087255
2018-06-26,2.862000,2.885000,2.855000,2.865000,2.428220,2930203
2018-06-27,2.860000,2.893000,2.860000,2.873000,2.435000,9134001
2018-06-28,2.861000,2.880000,2.860000,2.879000,2.440085,8651005
2018-06-29,2.867000,2.907000,2.867000,2.907000,2.463817,32897002
2018-07-02,2.846000,2.846000,2.800000,2.814000,2.479700,17918047
2018-07-03,2.800000,2.818000,2.752000,2.767000,2.438284,7335001
