Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,17330.000000,17330.000000,17090.000000,17160.000000,14045.368164,130
2018-02-13,17160.000000,17220.000000,17160.000000,17220.000000,14094.478516,73
2018-02-14,17150.000000,17190.000000,17070.000000,17070.000000,13971.705078,197
2018-02-15,17150.000000,17150.000000,17050.000000,17100.000000,13996.259766,365
2018-02-16,17100.000000,17260.000000,17070.000000,17130.000000,14020.814453,134
2018-02-19,17150.000000,17150.000000,17010.000000,17100.000000,13996.259766,115
2018-02-20,17160.000000,17210.000000,17110.000000,17210.000000,14086.292969,117
2018-02-21,17210.000000,17500.000000,17210.000000,17320.000000,14176.328125,231
2018-02-22,17330.000000,17470.000000,17330.000000,17400.000000,14241.807617,112
2018-02-26,17410.000000,17490.000000,17400.000000,17400.000000,14241.807617,146
2018-02-27,17410.000000,17420.000000,17280.000000,17330.000000,14184.512695,92
2018-02-28,17320.000000,17390.000000,17190.000000,17200.000000,14078.109375,83
2018-03-01,17270.000000,17270.000000,17080.000000,17200.000000,14078.109375,160
2018-03-02,17230.000000,17340.000000,17210.000000,17310.000000,14168.143555,91
2018-03-05,17360.000000,17560.000000,17300.000000,17520.000000,14340.028320,154
2018-03-06,17500.000000,17830.000000,17470.000000,17690.000000,14479.170898,249
2018-03-07,17710.000000,17790.000000,17620.000000,17710.000000,14495.541016,123
2018-03-09,17770.000000,17870.000000,17730.000000,17860.000000,14618.315430,125
2018-03-12,17900.000000,17910.000000,17670.000000,17770.000000,14544.650391,142
2018-03-13,17840.000000,17850.000000,17750.000000,17810.000000,14577.391602,108
2018-03-14,17970.000000,17970.000000,17600.000000,17690.000000,14479.170898,295
2018-03-15,17690.000000,17740.000000,17430.000000,17510.000000,14331.841797,276
2018-03-16,17470.000000,17730.000000,17470.000000,17600.000000,14405.505859,360
2018-03-19,17600.000000,17690.000000,17530.000000,17620.000000,14421.877930,230
2018-03-20,17620.000000,17800.000000,17470.000000,17500.000000,14323.657227,136
2018-03-21,17700.000000,17700.000000,17520.000000,17550.000000,14364.583008,184
2018-03-22,17620.000000,17620.000000,17530.000000,17590.000000,14397.321289,55
2018-03-23,17530.000000,17680.000000,17240.000000,17450.000000,14282.733398,239
2018-03-26,17450.000000,17560.000000,17290.000000,17420.000000,14258.177734,130
2018-03-27,17660.000000,17800.000000,17330.000000,17490.000000,14315.472656,126
2018-03-28,17470.000000,17490.000000,17360.000000,17440.000000,14274.546875,179
2018-03-29,17450.000000,17590.000000,17380.000000,17430.000000,14266.362305,145
2018-03-30,17420.000000,17570.000000,17410.000000,17500.000000,14323.657227,61
2018-04-02,17520.000000,17590.000000,17490.000000,17500.000000,14323.657227,117
2018-04-03,17490.000000,17600.000000,17200.000000,17410.000000,14249.992188,573
2018-04-04,17470.000000,17590.000000,17440.000000,17500.000000,14323.657227,74
2018-04-05,17530.000000,17600.000000,17430.000000,17520.000000,14340.028320,103
2018-04-06,17520.000000,17580.000000,17480.000000,17530.000000,14348.210938,92
2018-04-09,17510.000000,17720.000000,16600.000000,16880.000000,13816.190430,1302
2018-04-10,16770.000000,17310.000000,16750.000000,17250.000000,14119.034180,418
2018-04-11,17180.000000,17290.000000,16860.000000,16860.000000,13799.821289,406
2018-04-12,17150.000000,17600.000000,17000.000000,17440.000000,14274.546875,374
2018-04-13,17540.000000,17580.000000,15900.000000,16350.000000,13382.387695,2950
