Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,4229.000000,4319.000000,4224.000000,4303.000000,3779.368408,17231
2018-02-13,4325.000000,4356.000000,4291.000000,4292.000000,3769.706543,1054
2018-02-14,4311.000000,4335.000000,4238.000000,4294.000000,3771.462891,978
2018-02-15,4293.000000,4300.000000,4259.000000,4270.000000,3750.383545,2531
2018-02-16,4320.000000,4331.000000,4213.000000,4240.000000,3724.034180,1219
2018-02-19,4232.000000,4242.000000,4176.000000,4176.000000,3667.822510,745
2018-02-20,4166.000000,4207.000000,4165.000000,4169.000000,3661.674316,821
2018-02-21,4190.000000,4231.000000,4178.000000,4216.000000,3702.955078,826
2018-02-22,4200.000000,4275.000000,4200.000000,4255.000000,3737.209229,701
2018-02-26,4255.000000,4300.000000,4200.000000,4206.000000,3694.171875,1151
2018-02-27,4236.000000,4248.000000,4199.000000,4222.000000,3708.225098,578
2018-02-28,4200.000000,4250.000000,4188.000000,4212.000000,3699.441650,2662
2018-03-01,4191.000000,4260.000000,4140.000000,4170.000000,3662.552979,8500
2018-03-02,4190.000000,4199.000000,4123.000000,4150.000000,3644.986572,12746
2018-03-05,4150.000000,4276.000000,4150.000000,4180.000000,3671.335938,11198
2018-03-06,4195.000000,4270.000000,4195.000000,4219.000000,3705.590088,10988
2018-03-07,4236.000000,4275.000000,4219.000000,4249.000000,3731.939941,10308
2018-03-09,4260.000000,4280.000000,4224.000000,4225.000000,3710.859375,2018
2018-03-12,4261.000000,4261.000000,4180.000000,4201.000000,3689.780029,14536
2018-03-13,4211.000000,4299.000000,4090.000000,4160.000000,3653.769531,12425
2018-03-14,4177.000000,4178.000000,4061.000000,4105.000000,3605.462402,27606
2018-03-15,4110.000000,4152.000000,4043.000000,4124.000000,3622.150635,7741
2018-03-16,4108.000000,4250.000000,4103.000000,4250.000000,3732.817871,67532
2018-03-19,4250.000000,4312.000000,4236.000000,4250.000000,3732.817871,27378
2018-03-20,4270.000000,4284.000000,4230.000000,4244.000000,3727.547852,1584
2018-03-21,4255.000000,4288.000000,4208.000000,4245.000000,3728.426025,15896
2018-03-22,4256.000000,4256.000000,4200.000000,4218.000000,3704.711426,18004
2018-03-23,4225.000000,4284.000000,4175.000000,4235.000000,3719.642822,14154
