Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,607.900024,616.500000,602.500000,611.000000,610.009094,133375
2018-02-13,610.000000,618.599976,606.500000,613.900024,612.904419,149219
2018-02-14,617.200012,633.000000,609.000000,633.000000,631.973450,277828
2018-02-15,632.099976,644.000000,628.400024,638.400024,637.364685,185932
2018-02-16,638.900024,649.900024,638.900024,640.599976,639.561035,186806
2018-02-19,644.000000,648.000000,627.000000,630.700012,629.677246,123712
2018-02-20,627.299988,633.099976,616.700012,621.400024,620.392212,152414
2018-02-21,621.000000,623.400024,610.799988,619.099976,618.096008,232230
2018-02-22,618.099976,618.099976,606.400024,609.599976,608.611450,220229
2018-02-26,612.799988,624.700012,604.500000,606.000000,605.017212,326829
2018-02-27,607.500000,610.799988,604.599976,607.299988,606.315125,117278
2018-02-28,605.299988,607.099976,592.000000,594.000000,593.036743,507368
2018-03-01,590.000000,596.000000,581.799988,583.900024,582.953064,581030
2018-03-02,587.200012,598.000000,585.000000,596.400024,595.432800,182416
2018-03-05,596.700012,608.000000,595.099976,604.000000,603.020508,221836
2018-03-06,605.200012,608.599976,596.500000,607.299988,606.315125,237974
2018-03-07,607.299988,609.900024,597.400024,608.000000,607.013977,181299
2018-03-09,605.000000,616.799988,603.099976,616.000000,615.001038,115360
2018-03-12,615.200012,619.099976,597.500000,604.900024,603.919128,295816
2018-03-13,601.200012,630.000000,601.200012,627.000000,625.983215,391418
2018-03-14,629.000000,632.599976,619.099976,629.000000,627.979919,219646
2018-03-15,629.000000,630.500000,618.099976,624.900024,623.886597,278618
2018-03-16,628.500000,629.700012,601.099976,604.400024,603.419861,336307
2018-03-19,605.000000,609.900024,595.500000,596.900024,595.932007,179860
2018-03-20,599.099976,601.900024,588.900024,590.099976,589.143066,197517
2018-03-21,596.000000,600.200012,588.000000,597.500000,596.531067,247187
2018-03-22,599.000000,600.299988,583.799988,585.299988,584.350769,352275
2018-03-23,587.900024,598.900024,582.000000,594.700012,593.735596,151513
2018-03-26,594.000000,602.200012,590.200012,602.000000,601.023682,144260
2018-03-27,597.700012,604.900024,593.400024,595.900024,594.933594,108223
2018-03-28,594.799988,597.599976,585.299988,589.900024,588.943359,120500
2018-03-29,590.400024,593.900024,586.299988,592.000000,591.039856,205152
2018-03-30,588.000000,592.799988,588.000000,591.700012,590.740417,27205
2018-04-02,591.700012,597.799988,590.200012,595.400024,594.434448,38538
2018-04-03,595.700012,597.500000,585.000000,585.900024,584.949890,147830
2018-04-04,589.099976,597.000000,589.000000,593.000000,592.038330,164957
2018-04-05,593.799988,600.000000,590.700012,592.799988,591.838623,117561
2018-04-06,592.000000,594.400024,584.500000,591.400024,590.440979,280775
2018-04-09,587.599976,595.900024,504.500000,509.200012,508.374237,690577
2018-04-10,517.000000,587.799988,513.000000,556.000000,555.098389,934689
2018-04-11,560.000000,588.900024,560.000000,582.000000,581.056152,499074
2018-04-12,585.099976,587.799988,559.099976,569.000000,568.077209,233306
2018-04-13,570.000000,598.700012,562.500000,594.000000,593.036743,317459
2018-04-16,592.000000,597.599976,551.000000,558.900024,557.993652,350787
2018-04-17,564.400024,568.000000,551.900024,557.799988,556.895447,248066
2018-04-18,562.599976,616.000000,557.000000,605.200012,604.218628,726755
2018-04-19,607.700012,617.000000,591.299988,600.200012,599.226624,267759
2018-04-20,600.000000,606.000000,595.599976,601.500000,600.524536,54083
2018-04-23,603.599976,609.000000,595.900024,600.299988,599.326477,147273
2018-04-24,603.500000,610.000000,600.400024,604.799988,603.819153,191295
2018-04-25,605.099976,609.400024,596.000000,608.799988,607.812622,282857
2018-04-26,609.400024,625.000000,603.200012,620.500000,619.493774,215417
2018-04-27,622.000000,624.900024,616.799988,624.500000,623.487244,80472
2018-04-30,620.099976,636.000000,620.099976,631.299988,630.276245,118189
2018-05-02,625.000000,631.900024,619.500000,623.099976,622.089478,84963
2018-05-03,623.000000,627.200012,618.700012,621.200012,620.192688,76868
2018-05-04,620.299988,625.400024,616.000000,618.900024,617.896301,93766
2018-05-07,618.900024,624.500000,607.400024,608.000000,607.013977,106322
2018-05-08,611.299988,618.799988,607.500000,612.599976,611.606567,277689
2018-05-10,607.000000,611.900024,591.000000,592.099976,591.354614,254416
2018-05-11,594.900024,599.900024,591.500000,593.200012,592.453308,122132
2018-05-14,594.000000,598.000000,591.400024,594.099976,593.352112,126980
2018-05-15,592.599976,596.599976,573.099976,580.799988,580.068909,205978
2018-05-16,582.900024,598.500000,579.099976,590.200012,589.457031,173904
2018-05-17,593.299988,594.000000,587.799988,590.900024,590.156189,67306
2018-05-18,589.700012,592.000000,576.700012,589.000000,588.258545,172432
2018-05-21,586.200012,589.799988,579.200012,580.799988,580.068909,118389
2018-05-22,580.299988,587.799988,575.200012,585.500000,584.762939,125423
2018-05-23,584.200012,584.200012,572.299988,576.400024,575.674438,148888
2018-05-24,574.500000,578.099976,566.700012,572.799988,572.078979,124186
2018-05-25,575.900024,575.900024,564.799988,566.500000,565.786926,120562
2018-05-28,569.799988,576.500000,565.000000,575.000000,574.276184,60105
2018-05-29,576.900024,577.200012,557.900024,563.700012,562.990479,294064
2018-05-30,560.900024,570.500000,558.500000,562.299988,561.592102,120083
2018-05-31,565.000000,579.599976,564.900024,572.000000,571.279968,173506
2018-06-01,570.299988,573.700012,563.200012,568.200012,567.484741,101956
2018-06-04,569.200012,574.900024,565.000000,565.299988,564.588318,90896
2018-06-05,565.700012,570.500000,562.299988,566.900024,566.186401,129440
2018-06-06,565.099976,570.500000,562.000000,562.599976,561.891785,116019
2018-06-07,563.700012,567.799988,556.000000,560.000000,559.295105,146788
2018-06-08,561.400024,562.700012,551.799988,554.799988,554.101624,161587
2018-06-11,559.000000,567.299988,556.000000,563.700012,562.990479,97636
2018-06-13,565.000000,566.000000,555.799988,561.299988,560.593445,126757
2018-06-14,562.500000,563.500000,554.799988,560.099976,559.394897,205785
2018-06-15,561.299988,564.400024,549.200012,558.000000,557.297607,268366
2018-06-18,555.000000,556.400024,543.200012,547.099976,546.411255,226742
2018-06-19,545.000000,545.000000,536.099976,541.599976,540.918213,269419
2018-06-20,544.000000,557.599976,543.500000,548.200012,547.509949,221952
2018-06-21,554.900024,554.900024,538.299988,550.400024,549.707092,260343
2018-06-22,550.099976,557.700012,547.200012,555.200012,554.501099,239774
2018-06-25,556.700012,558.900024,548.400024,552.000000,551.305115,221189
2018-06-26,549.900024,564.099976,549.900024,564.099976,563.389893,180048
2018-06-27,563.900024,565.700012,554.000000,555.900024,555.200256,104996
2018-06-28,554.500000,557.200012,550.799988,554.200012,553.502441,126402
2018-06-29,555.000000,557.400024,547.900024,553.200012,552.503601,80441
2018-07-02,555.000000,559.799988,552.599976,555.099976,554.401245,140669
2018-07-03,555.200012,560.599976,550.000000,558.700012,557.996704,218067
2018-07-04,553.099976,561.700012,553.099976,560.799988,560.093994,84975
2018-07-05,561.000000,564.900024,558.500000,564.000000,563.290039,219687
2018-07-06,562.000000,566.900024,554.200012,564.099976,563.389893,224208
2018-07-09,565.599976,569.900024,561.799988,566.799988,566.086487,211821
2018-07-10,567.099976,567.099976,554.299988,554.299988,553.602173,159743
2018-07-11,554.200012,554.200012,540.299988,543.099976,542.416260,345737
2018-07-12,542.000000,545.200012,538.000000,542.799988,542.116760,233349
2018-07-13,545.700012,545.799988,533.500000,540.200012,539.520081,225353
2018-07-16,550.200012,551.200012,537.299988,541.599976,540.918213,88712
2018-07-17,540.200012,550.599976,536.200012,542.500000,541.817139,249485
