Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,177200.000000,177350.000000,174350.000000,175000.000000,156313.609375,1479
2018-02-13,175200.000000,178000.000000,174800.000000,178000.000000,158993.281250,1324
2018-02-14,177600.000000,180400.000000,177000.000000,180400.000000,161137.000000,1589
2018-02-15,181000.000000,181700.000000,180300.000000,180350.000000,161092.328125,1331
2018-02-16,181150.000000,181250.000000,180350.000000,180450.000000,161181.656250,964
2018-02-19,180950.000000,181000.000000,179800.000000,180000.000000,160779.718750,532
2018-02-20,179900.000000,180200.000000,178350.000000,179250.000000,160109.796875,1143
2018-02-21,178550.000000,182300.000000,178150.000000,180550.000000,161270.984375,2412
2018-02-22,180500.000000,185250.000000,180050.000000,184200.000000,164531.250000,2337
2018-02-26,184350.000000,186100.000000,183150.000000,183500.000000,163905.984375,1502
2018-02-27,184450.000000,184700.000000,181500.000000,181500.000000,162119.546875,1065
2018-02-28,181650.000000,185000.000000,181500.000000,185000.000000,165245.828125,2337
2018-03-01,183550.000000,184250.000000,182500.000000,182700.000000,163191.406250,653
2018-03-02,182900.000000,183000.000000,179200.000000,182150.000000,162700.140625,1074
2018-03-05,182400.000000,183650.000000,181950.000000,183300.000000,163727.343750,620
2018-03-06,183300.000000,185000.000000,182750.000000,183200.000000,163638.015625,988
2018-03-07,183200.000000,183850.000000,178600.000000,178600.000000,159529.203125,1508
2018-03-09,179350.000000,181100.000000,178800.000000,179800.000000,160601.062500,1391
2018-03-12,181050.000000,181250.000000,180250.000000,181000.000000,161672.921875,848
2018-03-13,181350.000000,181400.000000,180650.000000,181200.000000,161851.578125,1012
2018-03-14,180750.000000,181000.000000,176700.000000,176700.000000,157832.093750,3066
2018-03-15,177050.000000,178500.000000,175050.000000,175500.000000,156760.218750,2608
2018-03-16,176000.000000,180000.000000,175800.000000,177000.000000,158100.046875,5458
2018-03-19,177300.000000,178400.000000,176600.000000,177000.000000,158100.046875,815
2018-03-20,177150.000000,177900.000000,176800.000000,177650.000000,158680.640625,1599
2018-03-21,177000.000000,181400.000000,176300.000000,181150.000000,161806.921875,3120
2018-03-22,180500.000000,182050.000000,177100.000000,177400.000000,158457.343750,2092
2018-03-23,177450.000000,178200.000000,176700.000000,177500.000000,158546.671875,1711
2018-03-26,177750.000000,178400.000000,175600.000000,176800.000000,157921.406250,2544
2018-03-27,176200.000000,177000.000000,175650.000000,176000.000000,157206.843750,909
2018-03-28,175950.000000,177150.000000,174500.000000,174500.000000,155867.000000,2754
2018-03-29,174700.000000,177000.000000,174650.000000,176500.000000,157653.437500,1622
2018-03-30,177000.000000,177950.000000,175900.000000,175900.000000,157117.515625,1018
2018-04-02,176450.000000,180250.000000,175750.000000,179750.000000,160556.406250,3556
2018-04-03,179350.000000,179400.000000,178100.000000,179000.000000,159886.484375,371
2018-04-04,179000.000000,180350.000000,179000.000000,179650.000000,160467.078125,3180
2018-04-05,178350.000000,179000.000000,177300.000000,179000.000000,159886.484375,1247
2018-04-06,178900.000000,178900.000000,176000.000000,178100.000000,159082.593750,1495
2018-04-09,178800.000000,178800.000000,168700.000000,169700.000000,151579.546875,5275
2018-04-10,168100.000000,175000.000000,168100.000000,171000.000000,152740.734375,3992
2018-04-11,171100.000000,175700.000000,171000.000000,173500.000000,154973.781250,4466
2018-04-12,174800.000000,179600.000000,173200.000000,178600.000000,159529.203125,2318
2018-04-13,178500.000000,179000.000000,174350.000000,175650.000000,156894.203125,2769
2018-04-16,174500.000000,177250.000000,174500.000000,177150.000000,158234.031250,1843
2018-04-17,177500.000000,178000.000000,175650.000000,178000.000000,158993.281250,2092
2018-04-18,177400.000000,177800.000000,176400.000000,177750.000000,158769.968750,2308
2018-04-19,178650.000000,179150.000000,176100.000000,179000.000000,159886.484375,1670
2018-04-20,178250.000000,178250.000000,176500.000000,177550.000000,158591.312500,514
2018-04-23,177900.000000,178650.000000,174300.000000,176300.000000,157474.796875,3155
2018-04-24,176300.000000,176500.000000,174050.000000,175000.000000,156313.609375,1675
2018-04-25,174050.000000,174050.000000,170700.000000,172250.000000,153857.250000,2097
2018-04-26,171200.000000,171650.000000,169850.000000,170200.000000,152026.156250,2055
2018-04-27,170450.000000,172600.000000,169700.000000,172600.000000,154169.890625,864
2018-04-30,173550.000000,175200.000000,172400.000000,172450.000000,154035.906250,1503
2018-05-02,172500.000000,173100.000000,161200.000000,164050.000000,146532.843750,3702
