Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,0.047540,0.047790,0.046950,0.047120,0.042667,17212890000
2018-02-13,0.047190,0.047750,0.047050,0.047670,0.043165,12207000001
2018-02-14,0.047710,0.048270,0.047210,0.047700,0.043192,17793030000
2018-02-15,0.048000,0.048000,0.047320,0.047350,0.042876,20529160020
2018-02-16,0.047370,0.047800,0.047360,0.047700,0.043192,10440810020
2018-02-19,0.047550,0.047780,0.047230,0.047450,0.042966,6341120036
2018-02-20,0.047460,0.047950,0.047360,0.047740,0.043229,7623350001
2018-02-21,0.047650,0.049170,0.047610,0.048900,0.044279,35538170005
2018-02-22,0.048560,0.052950,0.048560,0.052780,0.047792,60623750023
2018-02-26,0.052970,0.055830,0.052550,0.054350,0.049214,96879140002
2018-02-27,0.054720,0.054890,0.053350,0.053800,0.048716,43129190200
2018-02-28,0.053610,0.054050,0.052610,0.052760,0.047774,55940220001
2018-03-01,0.052610,0.053170,0.052300,0.052400,0.047448,21449091000
2018-03-02,0.052760,0.053990,0.052100,0.052410,0.047457,24080610002
2018-03-05,0.052700,0.053420,0.052020,0.052460,0.047503,19975150009
2018-03-06,0.052650,0.053690,0.052530,0.053000,0.047992,21940900004
2018-03-07,0.052750,0.054780,0.052640,0.054700,0.049531,37893290000
2018-03-09,0.054540,0.056590,0.054330,0.056270,0.050953,31005350001
2018-03-12,0.057010,0.057640,0.055700,0.055710,0.050446,32589190070
2018-03-13,0.055770,0.056280,0.054920,0.055800,0.050527,28687530997
2018-03-14,0.055540,0.055980,0.053500,0.053540,0.048481,30212110700
2018-03-15,0.053660,0.054230,0.053190,0.053790,0.048707,30235220099
2018-03-16,0.053800,0.054190,0.053350,0.053480,0.048426,37576330344
2018-03-19,0.053900,0.054140,0.053400,0.053400,0.048354,12658970001
2018-03-20,0.053580,0.053960,0.052660,0.053730,0.048653,17622240011
2018-03-21,0.054050,0.054500,0.053170,0.054000,0.048897,30658230008
2018-03-22,0.054280,0.054280,0.053310,0.054000,0.048897,27649421100
2018-03-23,0.053400,0.053580,0.052900,0.053280,0.048245,17421750001
2018-03-26,0.053240,0.053240,0.051110,0.051260,0.046416,30388180001
2018-03-27,0.051370,0.052190,0.051050,0.051800,0.046905,21467510000
2018-03-28,0.051340,0.051580,0.050550,0.051000,0.046181,16810600200
2018-03-29,0.051110,0.052100,0.051110,0.051150,0.046316,20710280200
2018-03-30,0.051500,0.051660,0.051220,0.051660,0.046778,4193540001
2018-04-02,0.051600,0.051940,0.051140,0.051140,0.046307,12530820200
2018-04-03,0.051120,0.053100,0.050770,0.052260,0.047322,39091560001
2018-04-04,0.052640,0.052640,0.052100,0.052240,0.047303,15212170400
2018-04-05,0.052690,0.053950,0.052530,0.053950,0.048852,67703762646
2018-04-06,0.053600,0.055550,0.053590,0.054970,0.049776,72354280010
2018-04-09,0.055200,0.055250,0.048500,0.050720,0.045927,115911610003
2018-04-10,0.050000,0.051790,0.049220,0.050910,0.046099,83439090005
2018-04-11,0.050910,0.051590,0.049410,0.050470,0.045701,43223020001
2018-04-12,0.050920,0.051480,0.050510,0.050760,0.045963,19903160251
2018-04-13,0.050980,0.051500,0.050120,0.050870,0.046063,27025650500
2018-04-16,0.050010,0.052190,0.050000,0.051790,0.046896,28261520010
2018-04-17,0.053490,0.053540,0.051940,0.052170,0.047240,34786470010
2018-04-18,0.052440,0.053490,0.052200,0.053000,0.047992,24051110010
2018-04-19,0.053060,0.053500,0.051970,0.052500,0.047539,21522020002
2018-04-20,0.052450,0.053200,0.052100,0.052620,0.047648,14114340034
2018-04-23,0.052700,0.053000,0.052510,0.053000,0.047992,20982100001
2018-04-24,0.053000,0.053900,0.052800,0.053000,0.047992,26963840025
2018-04-25,0.052750,0.052900,0.052280,0.052870,0.047874,14514260028
2018-04-26,0.053000,0.053350,0.052080,0.052400,0.047448,19855440050
2018-04-27,0.052550,0.052800,0.052170,0.052570,0.047602,13673820050
2018-04-30,0.052720,0.053970,0.052650,0.053970,0.048870,13301570000
2018-05-02,0.053590,0.054140,0.053080,0.053400,0.048354,15488420005
2018-05-03,0.053380,0.053660,0.052800,0.052910,0.047910,10166510001
2018-05-04,0.052970,0.053110,0.052650,0.052750,0.047765,8613650001
2018-05-07,0.053100,0.053300,0.052720,0.052770,0.047783,13219541000
2018-05-08,0.052570,0.052950,0.050850,0.052700,0.047720,20443092000
2018-05-10,0.053100,0.053170,0.052240,0.052250,0.047313,15581900000
2018-05-11,0.052390,0.052700,0.052040,0.052050,0.047131,18683560020
